Time,CPU Core Usage,RAM Used Memmory,GPU Temperature,Top Running Process
2019-07-15-22:10:11,8.016666666666667,25.9,43.0,Steam
2019-07-15-22:10:22,0.43333333333333335,25.9,43.0,Steam
2019-07-15-22:10:33,2.233333333333333,25.9,43.0,Steam
2019-07-15-22:10:43,1.8499999999999999,26.2,43.0,Steam
2019-07-15-22:10:54,1.3166666666666667,26.3,43.0,Steam
2019-07-15-22:11:04,11.15,27.1,43.0,Steam
2019-07-15-22:11:15,9.65,26.7,43.0,Steam
2019-07-15-22:11:25,4.916666666666667,30.0,43.0,Steam
2019-07-15-22:11:36,5.5,32.5,43.0,Steam
2019-07-15-22:11:46,19.833333333333332,33.1,43.0,Steam
2019-07-15-22:11:57,1.2833333333333332,34.1,43.0,Steam
2019-07-15-22:12:07,2.216666666666667,35.1,44.0,Steam
2019-07-15-22:12:18,25.95,35.2,45.0,Steam
2019-07-15-22:12:28,25.45,36.3,44.0,Steam
2019-07-15-22:12:39,20.066666666666666,36.8,44.0,Steam
2019-07-15-22:12:49,8.5,37.4,44.0,Steam
2019-07-15-22:13:00,14.799999999999999,38.4,44.0,Steam
2019-07-15-22:13:10,0.08333333333333333,40.0,44.0,Steam
2019-07-15-22:13:21,0.75,40.1,44.0,Steam
2019-07-15-22:13:31,1.9333333333333333,40.5,44.0,Steam
2019-07-15-22:13:42,0.3833333333333333,40.3,44.0,Steam
2019-07-15-22:13:52,1.3499999999999999,40.5,44.0,Steam
2019-07-15-22:14:03,0.6666666666666666,40.3,44.0,Steam
2019-07-15-22:14:13,1.6666666666666667,40.3,44.0,Steam
2019-07-15-22:14:24,1.5833333333333333,40.4,44.0,Steam
2019-07-15-22:14:34,26.783333333333335,41.8,45.0,Steam
2019-07-15-22:14:45,1.2666666666666666,42.9,45.0,Steam
2019-07-15-22:14:55,0.6166666666666667,42.9,45.0,Steam
2019-07-15-22:15:06,14.033333333333333,43.2,45.0,Steam
2019-07-15-22:15:16,24.416666666666668,43.9,57.0,Steam
2019-07-15-22:15:27,36.26666666666667,43.4,60.0,Steam
2019-07-15-22:15:37,27.966666666666665,43.5,64.0,Steam
2019-07-15-22:15:48,28.116666666666664,43.6,66.0,Steam
2019-07-15-22:15:58,30.46666666666667,43.6,68.0,Steam
2019-07-15-22:16:09,27.566666666666674,43.7,70.0,Steam
2019-07-15-22:16:19,31.299999999999997,43.8,72.0,Steam
2019-07-15-22:16:30,26.13333333333333,42.9,74.0,Steam
2019-07-15-22:16:40,26.48333333333333,42.9,75.0,Steam
2019-07-15-22:16:51,25.78333333333333,42.9,76.0,Steam
2019-07-15-22:17:02,28.21666666666667,42.9,77.0,Steam
2019-07-15-22:17:12,26.53333333333333,43.0,78.0,Steam
2019-07-15-22:17:23,24.46666666666667,43.0,78.0,Steam
2019-07-15-22:17:33,27.083333333333332,42.7,79.0,Steam
2019-07-15-22:17:44,25.099999999999998,42.7,79.0,Steam
2019-07-15-22:17:54,26.01666666666667,42.7,79.0,Steam
2019-07-15-22:18:05,24.700000000000003,42.7,79.0,Steam
2019-07-15-22:18:15,29.3,42.7,79.0,Steam
2019-07-15-22:18:26,29.733333333333334,42.8,80.0,Steam
2019-07-15-22:18:36,25.916666666666668,42.8,79.0,Steam
2019-07-15-22:18:47,25.16666666666666,42.8,79.0,Steam
2019-07-15-22:18:57,24.599999999999998,42.8,79.0,Steam
2019-07-15-22:19:08,22.183333333333334,41.4,79.0,Steam
2019-07-15-22:19:18,27.600000000000005,41.4,79.0,Steam
2019-07-15-22:19:29,26.733333333333334,41.5,79.0,Steam
2019-07-15-22:19:39,29.433333333333334,41.5,79.0,Steam
2019-07-15-22:19:50,26.766666666666666,41.5,79.0,Steam
2019-07-15-22:20:01,25.900000000000002,41.5,79.0,Steam
